"st_cnty","night_pop","day_pop"
"19125","33407","34846"
"19127","39981","41327"
"19129","15063","11385"
"19131","10569","8857"
"19133","8679","6867"
"19135","7790","7388"
"19137","10003","9632"
"19139","42929","46835"
"19141","13840","13010"
"19143","6040","4911"
"19145","15249","15729"
"19147","8929","8521"
"19149","25095","22704"
"19151","6740","5632"
"19153","487204","549265"
"19155","93533","87561"
"19157","18699","19972"
"19159","4968","3874"
"19161","9719","7951"
"19163","173283","188075"
"19165","11578","11170"
"19167","34909","38612"
"19169","98105","105314"
"19171","16904","13202"
"19173","6191","5133"
"19175","12359","13190"
"19177","7020","5304"
"19179","35205","37559"
"19181","51056","36491"
"19183","22141","18909"
"19185","6401","5424"
"19187","36277","38043"
"19189","10518","11283"
"19191","20029","20567"
"19193","102539","106431"
"19195","7453","5670"
"19197","12690","12154"
"20001","12444","12650"
"20003","7878","6042"
"20005","16193","16508"
"20007","4472","3914"
"20009","26111","26920"
"20011","14653","15216"
"20013","9598","9571"
"20015","66765","62752"
"20017","2629","2088"
"20019","3309","2787"
"20021","20015","16971"
"20023","2660","2325"
"20025","2005","1821"
"20027","7997","7302"
"20029","8729","9066"
"20031","8233","8513"
"20033","1748","1652"
"20035","35218","34720"
"20037","39019","41019"
"20039","2871","2600"
"20041","18717","16944"
"20043","7682","7319"
"20045","121436","121615"
"20047","2849","2315"
"20049","2508","2188"
"20051","28710","29095"
"20053","6196","6024"
"20055","36611","37493"
"20057","33888","36307"
"20059","25631","22724"
"20061","32594","34007"
"20063","2612","2357"
"20065","2492","2342"
"20067","7336","7309"
"20069","6033","6180"
"20071","1227","1156"
"20073","6055","4638"
"20075","2607","2498"
"20077","5506","5326"
"20079","34210","32456"
"20081","3997","3683"
"20083","1818","1499"
"20085","13280","10505"
"20087","18975","13113"
"20089","2841","2263"
"20091","597555","635473"
"20093","3943","3305"
"20095","7310","6266"
"20097","2516","2545"
"20099","19964","20924"
"20101","1560","1558"
"20103","81352","67562"
"20105","3023","2322"
"20107","9750","7708"
"20109","2844","2614"
"20111","33406","35227"
"20113","28537","30381"
"20115","11950","10659"
"20117","9722","9468"
"20119","4146","3853"
"20121","33680","24807"
"20123","6150","7003"
"20125","32120","34240"
"20127","5521","4155"
"20129","2667","3206"
"20131","10155","10583"
"20133","15951","16031"
"20135","2840","2737"
"20137","5430","5083"
"20139","15941","11619"
"20141","3475","3076"
"20143","5802","4471"
"20145","6562","6910"
"20147","5317","4880"
"20149","24277","20938"
"20151","9378","9794"
"20153","2508","2077"
"20155","62342","63916"
"20157","4664","4473"
"20159","9531","9251"
"20161","73703","78196"
"20163","5013","4486"
"20165","3093","2683"
"20167","6907","6320"
"20169","54401","57068"
"20171","4897","4677"
"20173","513607","537762"
"20175","21780","24959"
"20177","177499","196029"
"20179","2533","2269"
"20181","5899","6058"
"20183","3603","2944"
"20185","4178","3688"
"20187","1987","1832"
"20189","5559","5014"
"20191","22996","18884"
"20193","7711","7979"
"20195","2793","2662"
"20197","6899","4737"
"20199","1503","1257"
"20201","5420","5040"
"20203","2105","1724"
"20205","8665","8987"
"20207","3183","2502"
"20209","165324","187544"
"21001","19215","16449"
"21003","21122","16311"
"21005","22663","17086"
"21007","7979","6231"
"21009","44176","44527"
"21011","12383","9207"
"21013","26569","28041"
"21015","131533","156157"
"21017","20184","17825"
"21019","47240","56420"
"21021","30100","34157"
"21023","8239","5283"
"21025","12726","13738"
"21027","20388","16000"
"21029","81069","67592"
